,US
7/18/20,140585
7/19/20,141061
7/20/20,141590
7/21/20,142686
7/22/20,143911
7/23/20,144997
7/24/20,146091
7/25/20,147060
7/26/20,147594
7/27/20,148694
7/28/20,149916
7/29/20,151356
7/30/20,152645
7/31/20,153828
8/1/20,154947
8/2/20,155404
8/3/20,155963
8/4/20,157218
8/5/20,158626
8/6/20,159807
8/7/20,161098
8/8/20,162185
8/9/20,162757
8/10/20,163274
8/11/20,164371
8/12/20,165886
8/13/20,166924
8/14/20,168233
8/15/20,169278
8/16/20,169886
8/17/20,170355
8/18/20,171578
8/19/20,172865
8/20/20,173972
8/21/20,175073
8/22/20,176052
8/23/20,176547
8/24/20,176989
8/25/20,178223
8/26/20,179401
8/27/20,180516
8/28/20,181457
8/29/20,182440
8/30/20,182889
8/31/20,183383
9/1/20,184444
9/2/20,185496
9/3/20,186527
9/4/20,187506
9/5/20,188326
9/6/20,188766
9/7/20,189086
9/8/20,189554
9/9/20,190659
9/10/20,191583
9/11/20,192739
9/12/20,193488
9/13/20,193888
9/14/20,194311
9/15/20,195513
9/16/20,196468
9/17/20,197334
9/18/20,198294
9/19/20,199005
9/20/20,199275
9/21/20,199688
9/22/20,200723
9/23/20,201788
9/24/20,202695
9/25/20,203610
9/26/20,204393
9/27/20,204705
9/28/20,205046
9/29/20,205948
9/30/20,206880
10/1/20,207796
10/2/20,208637
10/3/20,209323
10/4/20,209692
10/5/20,210174
10/6/20,210875
10/7/20,211794
10/8/20,212776
10/9/20,213749
10/10/20,214409
10/11/20,214876
10/12/20,215274
10/13/20,216051
10/14/20,217050
10/15/20,217895
10/16/20,218838
10/17/20,219658
10/18/20,220121
10/19/20,220611
10/20/20,221548
10/21/20,222722
10/22/20,223579
10/23/20,224529
10/24/20,225492
10/25/20,225950
10/26/20,226472
10/27/20,227483
10/28/20,228517
10/29/20,229520
10/30/20,230584
10/31/20,231515
11/1/20,232018
11/2/20,232575
11/3/20,234172
11/4/20,235292
11/5/20,236457
11/6/20,237671
11/7/20,238788
11/8/20,239351
11/9/20,240110
11/10/20,241526
11/11/20,242969
11/12/20,244173
11/13/20,245373
11/14/20,246746
11/15/20,247534
11/16/20,248348
11/17/20,250057
11/18/20,251999
11/19/20,254041
11/20/20,255990
11/21/20,257628
11/22/20,258689
11/23/20,259762
11/24/20,261898
11/25/20,264151
11/26/20,265554
11/27/20,267106
11/28/20,268464
11/29/20,269515
11/30/20,270827
12/1/20,273379
12/2/20,276209
12/3/20,279178
12/4/20,281790
12/5/20,284180
12/6/20,285583
12/7/20,287142
12/8/20,289725
12/9/20,292906
12/10/20,295892
12/11/20,299273
12/12/20,301806
12/13/20,303465
12/14/20,305114
12/15/20,308101
12/16/20,311834
12/17/20,315284
12/18/20,318226
12/19/20,320980
12/20/20,322749
12/21/20,324546
12/22/20,327844
12/23/20,331223
12/24/20,334145
12/25/20,335650
12/26/20,337563
12/27/20,339001
12/28/20,340878
12/29/20,344494
12/30/20,348427
12/31/20,351754
1/1/21,353948
1/2/21,356547
1/3/21,357984
1/4/21,359964
1/5/21,363568
1/6/21,367492
1/7/21,371520
1/8/21,375709
1/9/21,378965
1/10/21,381069
1/11/21,382905
1/12/21,387294
1/13/21,391312
1/14/21,395104
1/15/21,398916
1/16/21,402493
1/17/21,404484
1/18/21,406049
1/19/21,408450
1/20/21,412892
1/21/21,417029
1/22/21,420806
1/23/21,424362
1/24/21,426220
1/25/21,427989
1/26/21,431971
1/27/21,436099
1/28/21,439949
1/29/21,443548
1/30/21,446449
1/31/21,448406
2/1/21,450183
2/2/21,453716
2/3/21,457633
2/4/21,461517
2/5/21,465191
2/6/21,467928
2/7/21,469405
2/8/21,470856
2/9/21,473921
2/10/21,477328
2/11/21,480519
2/12/21,483403
2/13/21,485699
2/14/21,486897
2/15/21,487846
2/16/21,489490
2/17/21,491936
2/18/21,494543
2/19/21,497078
2/20/21,499011
2/21/21,500238
2/22/21,501439
2/23/21,503715
2/24/21,506979
2/25/21,509409
2/26/21,511564
2/27/21,513085
2/28/21,514192
3/1/21,515511
3/2/21,517444
3/3/21,520025
3/4/21,521977
3/5/21,523700
3/6/21,525231
3/7/21,525942
3/8/21,526647
3/9/21,528431
3/10/21,530003
3/11/21,531577
3/12/21,533008
3/13/21,534005
3/14/21,534537
3/15/21,535237
3/16/21,536498
3/17/21,537715
3/18/21,539363
3/19/21,540409
3/20/21,541182
3/21/21,541972
3/22/21,542505
3/23/21,543450
3/24/21,544985
3/25/21,546343
3/26/21,547511
3/27/21,548325
3/28/21,548775
3/29/21,549429
3/30/21,550354
3/31/21,551455
4/1/21,552578
4/2/21,553479
4/3/21,554250
4/4/21,554553
4/5/21,555010
4/6/21,555874
4/7/21,558468
4/8/21,559511
4/9/21,560421
4/10/21,561145
4/11/21,561430
4/12/21,561882
4/13/21,562759
4/14/21,563695
4/15/21,564600
4/16/21,565461
4/17/21,566169
4/18/21,566498
4/19/21,567002
4/20/21,567849
4/21/21,568738
4/22/21,569683
4/23/21,570445
4/24/21,571209
4/25/21,571503
4/26/21,571976
4/27/21,572652
4/28/21,573646
4/29/21,574539
4/30/21,575347
5/1/21,576092
5/2/21,576413
5/3/21,576886
5/4/21,577798
5/5/21,578611
5/6/21,579438
5/7/21,580262
5/8/21,580897
5/9/21,581136
5/10/21,581535
5/11/21,582235
5/12/21,583033
5/13/21,583823
5/14/21,584455
5/15/21,584984
5/16/21,585248
5/17/21,585642
5/18/21,586422
5/19/21,587106
5/20/21,587790
5/21/21,588425
5/22/21,588909
5/23/21,589099
5/24/21,589537
5/25/21,590184
5/26/21,591161
5/27/21,592516
5/28/21,593056
5/29/21,593406
5/30/21,593555
5/31/21,593717
6/1/21,594356
6/2/21,594920
6/3/21,595559
6/4/21,596086
6/5/21,596667
6/6/21,596831
6/7/21,597137
6/8/21,597468
6/9/21,597948
6/10/21,598366
6/11/21,598905
6/12/21,599181
6/13/21,599285
6/14/21,599465
6/15/21,599799
6/16/21,600182
6/17/21,600499
6/18/21,601113
6/19/21,601292
6/20/21,601365
6/21/21,601623
6/22/21,601974
6/23/21,602373
6/24/21,602713
6/25/21,603236
6/26/21,603396
6/27/21,603469
6/28/21,603615
6/29/21,603952
6/30/21,604247
7/1/21,604533
7/2/21,604968
7/3/21,605058
7/4/21,605099
7/5/21,605223
7/6/21,605523
7/7/21,605844
7/8/21,606092
7/9/21,606554
7/10/21,606640
7/11/21,606754
7/12/21,606985
7/13/21,607344
7/14/21,607676
7/15/21,608002
7/16/21,608360
7/17/21,608435
7/18/21,608613
7/19/21,608800
7/20/21,609092
7/21/21,609444
7/22/21,609738
7/23/21,610298
7/24/21,610420
7/25/21,610507
7/26/21,610767
7/27/21,611217
7/28/21,611598
7/29/21,611925
7/30/21,612798
7/31/21,612957
8/1/21,613173
8/2/21,613525
8/3/21,614109
8/4/21,614642
8/5/21,615146
8/6/21,616300
8/7/21,616552
8/8/21,616670
8/9/21,617168
8/10/21,618033
8/11/21,618812
8/12/21,619824
8/13/21,620880
8/14/21,621142
8/15/21,621327
8/16/21,622364
8/17/21,623392
8/18/21,624567
8/19/21,626348
8/20/21,627827
8/21/21,628379
8/22/21,628558
8/23/21,629919
8/24/21,631341
8/25/21,632831
8/26/21,635052
8/27/21,636775
8/28/21,637408
8/29/21,637697
8/30/21,639430
8/31/21,640873
9/1/21,642907
9/2/21,645860
9/3/21,647828
9/4/21,648463
9/5/21,648859
9/6/21,649458
9/7/21,651537
9/8/21,653815
9/9/21,657099
9/10/21,659529
9/11/21,660321
9/12/21,660657
9/13/21,662812
9/14/21,664739
9/15/21,667505
9/16/21,670966
9/17/21,673412
9/18/21,674376
9/19/21,674723
9/20/21,677008
9/21/21,679363
9/22/21,682208
9/23/21,685475
9/24/21,687959
9/25/21,688749
9/26/21,689298
9/27/21,691602
9/28/21,694162
9/29/21,696775
9/30/21,699572
10/1/21,701708
10/2/21,702500
10/3/21,702999
10/4/21,704958
10/5/21,706865
10/6/21,709495
10/7/21,711973
10/8/21,713807
10/9/21,714229
10/10/21,714697
10/11/21,715799
10/12/21,718151
10/13/21,721376
10/14/21,723517
10/15/21,725343
10/16/21,725869
10/17/21,726320
10/18/21,728064
10/19/21,730201
10/20/21,733404
10/21/21,735392
10/22/21,737287
10/23/21,737825
10/24/21,738067
10/25/21,739480
10/26/21,741096
10/27/21,743172
10/28/21,745014
10/29/21,746750
10/30/21,747110
10/31/21,747343
11/1/21,748593
11/2/21,749877
11/3/21,751844
11/4/21,753048
11/5/21,755171
11/6/21,755631
11/7/21,755816
11/8/21,757029
11/9/21,758513
11/10/21,760193
11/11/21,761048
11/12/21,763536
11/13/21,764090
11/14/21,764276
11/15/21,765544
11/16/21,766879
11/17/21,768558
11/18/21,769880
11/19/21,771682
11/20/21,772116
11/21/21,772310
11/22/21,773536
11/23/21,774896
11/24/21,776631
11/25/21,777085
11/26/21,777440
11/27/21,777732
11/28/21,777933
11/29/21,779831
11/30/21,781328
12/1/21,783329
12/2/21,787187
12/3/21,788771
12/4/21,789403
12/5/21,789676
12/6/21,790961
12/7/21,792601
12/8/21,794347
12/9/21,795794
12/10/21,797566
12/11/21,798063
12/12/21,798299
12/13/21,799592
12/14/21,801012
12/15/21,803189
12/16/21,804335
12/17/21,806072
12/18/21,806583
12/19/21,806749
12/20/21,808201
12/21/21,810045
12/22/21,812069
12/23/21,815423
12/24/21,816436
12/25/21,816533
12/26/21,816609
12/27/21,818371
12/28/21,820708
12/29/21,822892
12/30/21,824301
12/31/21,825536
