,Italy
1/18/21,82554
1/19/21,83157
1/20/21,83681
1/21/21,84202
1/22/21,84674
1/23/21,85162
1/24/21,85461
1/25/21,85881
1/26/21,86422
1/27/21,86889
1/28/21,87381
1/29/21,87858
1/30/21,88279
1/31/21,88516
2/1/21,88845
2/2/21,89344
2/3/21,89820
2/4/21,90241
2/5/21,90618
2/6/21,91003
2/7/21,91273
2/8/21,91580
2/9/21,92002
2/10/21,92338
2/11/21,92729
2/12/21,93045
2/13/21,93356
2/14/21,93577
2/15/21,93835
2/16/21,94171
2/17/21,94540
2/18/21,94887
2/19/21,95235
2/20/21,95486
2/21/21,95718
2/22/21,95992
2/23/21,96348
2/24/21,96666
2/25/21,96974
2/26/21,97227
2/27/21,97507
2/28/21,97699
3/1/21,97945
3/2/21,98288
3/3/21,98635
3/4/21,98974
3/5/21,99271
3/6/21,99578
3/7/21,99785
3/8/21,100103
3/9/21,100479
3/10/21,100811
3/11/21,101184
3/12/21,101564
3/13/21,101881
3/14/21,102145
3/15/21,102499
3/16/21,103001
3/17/21,103432
3/18/21,103855
3/19/21,104241
3/20/21,104642
3/21/21,104942
3/22/21,105328
3/23/21,105879
3/24/21,106339
3/25/21,106799
3/26/21,107256
3/27/21,107636
3/28/21,107933
3/29/21,108350
3/30/21,108879
3/31/21,109346
4/1/21,109847
4/2/21,110328
4/3/21,110704
4/4/21,111030
4/5/21,111326
4/6/21,111747
4/7/21,112374
4/8/21,112861
4/9/21,113579
4/10/21,113923
4/11/21,114254
4/12/21,114612
4/13/21,115088
4/14/21,115557
4/15/21,115937
4/16/21,116366
4/17/21,116676
4/18/21,116927
4/19/21,117243
4/20/21,117633
4/21/21,117997
4/22/21,118357
4/23/21,118699
4/24/21,119021
4/25/21,119238
4/26/21,119539
4/27/21,119912
4/28/21,120256
4/29/21,120544
4/30/21,120807
5/1/21,121033
5/2/21,121177
5/3/21,121433
5/4/21,121738
5/5/21,122005
5/6/21,122263
5/7/21,122470
5/8/21,122694
5/9/21,122833
5/10/21,123031
5/11/21,123282
5/12/21,123544
5/13/21,123745
5/14/21,123927
5/15/21,124063
5/16/21,124156
5/17/21,124296
5/18/21,124497
5/19/21,124646
5/20/21,124810
5/21/21,125028
5/22/21,125153
5/23/21,125225
5/24/21,125335
5/25/21,125501
5/26/21,125622
5/27/21,125793
5/28/21,125919
5/29/21,126002
5/30/21,126046
5/31/21,126128
6/1/21,126221
6/2/21,126283
6/3/21,126342
6/4/21,126415
6/5/21,126472
6/6/21,126523
6/7/21,126588
6/8/21,126690
6/9/21,126767
6/10/21,126855
6/11/21,126924
6/12/21,126976
6/13/21,127002
6/14/21,127038
6/15/21,127101
6/16/21,127153
6/17/21,127190
6/18/21,127225
6/19/21,127253
6/20/21,127270
6/21/21,127291
6/22/21,127322
6/23/21,127352
6/24/21,127362
6/25/21,127418
6/26/21,127458
6/27/21,127472
6/28/21,127500
6/29/21,127542
6/30/21,127566
7/1/21,127587
7/2/21,127615
7/3/21,127637
7/4/21,127649
7/5/21,127680
7/6/21,127704
7/7/21,127718
7/8/21,127731
7/9/21,127756
7/10/21,127768
7/11/21,127775
7/12/21,127788
7/13/21,127808
7/14/21,127831
7/15/21,127840
7/16/21,127851
7/17/21,127864
7/18/21,127867
7/19/21,127874
7/20/21,127884
7/21/21,127905
7/22/21,127920
7/23/21,127937
7/24/21,127942
7/25/21,127949
7/26/21,127971
7/27/21,127995
7/28/21,128010
7/29/21,128029
7/30/21,128047
7/31/21,128063
8/1/21,128068
8/2/21,128088
8/3/21,128115
8/4/21,128136
8/5/21,128163
8/6/21,128187
8/7/21,128209
8/8/21,128220
8/9/21,128242
8/10/21,128273
8/11/21,128304
8/12/21,128334
8/13/21,128379
8/14/21,128413
8/15/21,128432
8/16/21,128456
8/17/21,128510
8/18/21,128579
8/19/21,128634
8/20/21,128683
8/21/21,128728
8/22/21,128751
8/23/21,128795
8/24/21,128855
8/25/21,128914
8/26/21,128957
8/27/21,129002
8/28/21,129056
8/29/21,129093
8/30/21,129146
8/31/21,129221
9/1/21,129290
9/2/21,129352
9/3/21,129410
9/4/21,129466
9/5/21,129515
9/6/21,129567
9/7/21,129638
9/8/21,129707
9/9/21,129766
9/10/21,129828
9/11/21,129885
9/12/21,129919
9/13/21,129955
9/14/21,130027
9/15/21,130100
9/16/21,130167
9/17/21,130233
9/18/21,130284
9/19/21,130310
9/20/21,130354
9/21/21,130421
9/22/21,130488
9/23/21,130551
9/24/21,130603
9/25/21,130653
9/26/21,130697
9/27/21,130742
9/28/21,130807
9/29/21,130870
9/30/21,130921
10/1/21,130973
10/2/21,130998
10/3/21,131031
10/4/21,131068
10/5/21,131118
10/6/21,131157
10/7/21,131198
10/8/21,131228
10/9/21,131274
10/10/21,131301
10/11/21,131335
10/12/21,131384
10/13/21,131421
10/14/21,131461
10/15/21,131503
10/16/21,131517
10/17/21,131541
10/18/21,131585
10/19/21,131655
10/20/21,131688
10/21/21,131724
10/22/21,131763
10/23/21,131802
10/24/21,131826
10/25/21,131856
10/26/21,131904
10/27/21,131954
10/28/21,132004
10/29/21,132037
10/30/21,132074
10/31/21,132100
11/1/21,132120
11/2/21,132161
11/3/21,132224
11/4/21,132283
11/5/21,132334
11/6/21,132365
11/7/21,132391
11/8/21,132423
11/9/21,132491
11/10/21,132551
11/11/21,132618
11/12/21,132686
11/13/21,132739
11/14/21,132775
11/15/21,132819
11/16/21,132893
11/17/21,132965
11/18/21,133034
11/19/21,133082
11/20/21,133131
11/21/21,133177
11/22/21,133247
11/23/21,133330
11/24/21,133415
11/25/21,133486
11/26/21,133537
11/27/21,133627
11/28/21,133674
11/29/21,133739
11/30/21,133828
12/1/21,133931
12/2/21,134003
12/3/21,134077
12/4/21,134152
12/5/21,134195
12/6/21,134287
12/7/21,134386
12/8/21,134472
12/9/21,134551
12/10/21,134669
12/11/21,134765
12/12/21,134831
12/13/21,134929
12/14/21,135049
12/15/21,135178
12/16/21,135301
12/17/21,135421
12/18/21,135544
12/19/21,135641
12/20/21,135778
12/21/21,135931
12/22/21,136077
12/23/21,136245
12/24/21,136386
12/25/21,136530
12/26/21,136611
12/27/21,136753
12/28/21,136955
12/29/21,137091
12/30/21,137247
12/31/21,137402
