,Italy
3/22/21,3400877
3/23/21,3419616
3/24/21,3440862
3/25/21,3464543
3/26/21,3488619
3/27/21,3512453
3/28/21,3532057
3/29/21,3544957
3/30/21,3561012
3/31/21,3584899
4/1/21,3607083
4/2/21,3629000
4/3/21,3650247
4/4/21,3668264
4/5/21,3678944
4/6/21,3686707
4/7/21,3700393
4/8/21,3717602
4/9/21,3736526
4/10/21,3754077
4/11/21,3769814
4/12/21,3779594
4/13/21,3793033
4/14/21,3809193
4/15/21,3826156
4/16/21,3842079
4/17/21,3857443
4/18/21,3870131
4/19/21,3878994
4/20/21,3891063
4/21/21,3904899
4/22/21,3920945
4/23/21,3935703
4/24/21,3949517
4/25/21,3962674
4/26/21,3971114
4/27/21,3981512
4/28/21,3994894
4/29/21,4009208
4/30/21,4022653
5/1/21,4035617
5/2/21,4044762
5/3/21,4050708
5/4/21,4059821
5/5/21,4070400
5/6/21,4082198
5/7/21,4092747
5/8/21,4102921
5/9/21,4111210
5/10/21,4116287
5/11/21,4123230
5/12/21,4131078
5/13/21,4139160
5/14/21,4146722
5/15/21,4153374
5/16/21,4159122
5/17/21,4162576
5/18/21,4167025
5/19/21,4172525
5/20/21,4178261
5/21/21,4183476
5/22/21,4188190
5/23/21,4192183
5/24/21,4194672
5/25/21,4197892
5/26/21,4201827
5/27/21,4205970
5/28/21,4209707
5/29/21,4213055
5/30/21,4216003
5/31/21,4217821
6/1/21,4220304
6/2/21,4223200
6/3/21,4225163
6/4/21,4227719
6/5/21,4230153
6/6/21,4232428
6/7/21,4233698
6/8/21,4235592
6/9/21,4237790
6/10/21,4239868
6/11/21,4241760
6/12/21,4243482
6/13/21,4244872
6/14/21,4245779
6/15/21,4247032
6/16/21,4248432
6/17/21,4249755
6/18/21,4250902
6/19/21,4252095
6/20/21,4252976
6/21/21,4253460
6/22/21,4254294
6/23/21,4255434
6/24/21,4255700
6/25/21,4256451
6/26/21,4257289
6/27/21,4258069
6/28/21,4258456
6/29/21,4259133
6/30/21,4259909
7/1/21,4260788
7/2/21,4261582
7/3/21,4262511
7/4/21,4263317
7/5/21,4263797
7/6/21,4264704
7/7/21,4265714
7/8/21,4267105
7/9/21,4268491
7/10/21,4269885
7/11/21,4271276
7/12/21,4272163
7/13/21,4273693
7/14/21,4275846
7/15/21,4278319
7/16/21,4281214
7/17/21,4284332
7/18/21,4287458
7/19/21,4289528
7/20/21,4293083
7/21/21,4297337
7/22/21,4302393
7/23/21,4307535
7/24/21,4312673
7/25/21,4317415
7/26/21,4320530
7/27/21,4325046
7/28/21,4330739
7/29/21,4336906
7/30/21,4343519
7/31/21,4350028
8/1/21,4355348
8/2/21,4358533
8/3/21,4363374
8/4/21,4369964
8/5/21,4377188
8/6/21,4383787
8/7/21,4390684
8/8/21,4396417
8/9/21,4400617
8/10/21,4406241
8/11/21,4413162
8/12/21,4420429
8/13/21,4427827
8/14/21,4435008
8/15/21,4440669
8/16/21,4444338
8/17/21,4449606
8/18/21,4456765
8/19/21,4464005
8/20/21,4471225
8/21/21,4478691
8/22/21,4484613
8/23/21,4488779
8/24/21,4494857
8/25/21,4502396
8/26/21,4509611
8/27/21,4517434
8/28/21,4524292
8/29/21,4530246
8/30/21,4534499
8/31/21,4539991
9/1/21,4546487
9/2/21,4553241
9/3/21,4559970
9/4/21,4566126
9/5/21,4571440
9/6/21,4574787
9/7/21,4579502
9/8/21,4585423
9/9/21,4590941
9/10/21,4596558
9/11/21,4601749
9/12/21,4606413
9/13/21,4609205
9/14/21,4613214
9/15/21,4618040
9/16/21,4623155
9/17/21,4627699
9/18/21,4632275
9/19/21,4636111
9/20/21,4638516
9/21/21,4641890
9/22/21,4645853
9/23/21,4649906
9/24/21,4653696
9/25/21,4657215
9/26/21,4660314
9/27/21,4662087
9/28/21,4665049
9/29/21,4668261
9/30/21,4672355
10/1/21,4675758
10/2/21,4679067
10/3/21,4682034
10/4/21,4683646
10/5/21,4686109
10/6/21,4689341
10/7/21,4692274
10/8/21,4695291
10/9/21,4698038
10/10/21,4700316
10/11/21,4701832
10/12/21,4704318
10/13/21,4707087
10/14/21,4709753
10/15/21,4712482
10/16/21,4715464
10/17/21,4717899
10/18/21,4719493
10/19/21,4722188
10/20/21,4725887
10/21/21,4729678
10/22/21,4733557
10/23/21,4737462
10/24/21,4741185
10/25/21,4743720
10/26/21,4747773
10/27/21,4752368
10/28/21,4757231
10/29/21,4762563
10/30/21,4767440
10/31/21,4771965
11/1/21,4774783
11/2/21,4777614
11/3/21,4782802
11/4/21,4788704
11/5/21,4795465
11/6/21,4802225
11/7/21,4808047
11/8/21,4812594
11/9/21,4818705
11/10/21,4826738
11/11/21,4835435
11/12/21,4843957
11/13/21,4852496
11/14/21,4860061
11/15/21,4865260
11/16/21,4873075
11/17/21,4883242
11/18/21,4893887
11/19/21,4904441
11/20/21,4915981
11/21/21,4925688
11/22/21,4932091
11/23/21,4942135
11/24/21,4954585
11/25/21,4968341
11/26/21,4982022
11/27/21,4994891
11/28/21,5007818
11/29/21,5015790
11/30/21,5028547
12/1/21,5043620
12/2/21,5060430
12/3/21,5077445
12/4/21,5094072
12/5/21,5109082
12/6/21,5118576
12/7/21,5134318
12/8/21,5152264
12/9/21,5164780
12/10/21,5185270
12/11/21,5206305
12/12/21,5225517
12/13/21,5238221
12/14/21,5258886
12/15/21,5282076
12/16/21,5308180
12/17/21,5336795
12/18/21,5364852
12/19/21,5389155
12/20/21,5405360
12/21/21,5436143
12/22/21,5472469
12/23/21,5517054
12/24/21,5567644
12/25/21,5622431
12/26/21,5647313
12/27/21,5678112
12/28/21,5756412
12/29/21,5854428
12/30/21,5981428
12/31/21,6125683
